21 3
         2          3   0.333333
   1.66697    2.12816   0.333333
   1.22365    1.56029   0.333333
  0.716227    1.21784   0.333333
   0.19087     1.0223   0.333333
 -0.306243    0.89511   0.333333
 -0.736049   0.770194   0.333333
  -1.08793   0.631237   0.333333
  -1.35837    0.47437   0.333333
  -1.54432   0.297524   0.333333
  -1.64451    0.10582   0.333333
  -1.65747 -0.0938201   0.333333
  -1.57905  -0.294476   0.333333
   -1.4053   -0.48807   0.333333
  -1.13577  -0.661894   0.333333
 -0.770833  -0.802083   0.333333
 -0.314667  -0.890667   0.333333
    0.2135   -0.89325   0.333333
  0.790667  -0.771333   0.333333
   1.39383  -0.486417   0.333333
         2          0   0.333333
