21 3
-85.231 64.5664 60.6357
-90.1765 60.8374 63.3683
-93.8641 56.9278 64.9343
-98.3461 49.2543 64.1743
-100.655 42.7976 63.1136
-103.742 32.8795 63.2635
-105.449 26.0005 63.3422
-106.77 19.2169 63.3909
-107.715 12.5109 63.4113
-108.292 5.9047 63.4048
-108.494 -0.4236 63.3839
-108.292 -6.7519 63.4048
-107.715 -13.3581 63.4113
-106.77 -20.064 63.3909
-105.449 -26.8476 63.3422
-103.671 -33.9208 63.259
-101.355 -41.5365 63.1343
-98.5082 -48.5495 63.7562
-95.7634 -54.4234 65.1462
-92.2023 -59.5622 64.3564
-87.795 -63.6456 62.1495
