22 3
-123.497 65.5845 51.5934
-129.119 62.9603 52.4796
-135.807 58.2804 52.4403
-140.777 51.7998 52.6168
-141.298 45.44 51.6887
-142.359 41.5203 51.0966
-142.99 36.4766 51.0353
-145.553 30.1989 50.8618
-147.43 20.8643 51.1222
-148.89 11.6451 51.2113
-149.141 2.4168 51.4286
-149.204 -9.4548 51.2255
-148.003 -18.6113 51.1585
-146.019 -27.935 51.0379
-142.997 -34.1631 51.4995
-141.074 -39.4789 51.8281
-139.492 -42.2103 52.816
-138.028 -48.824 54.8127
-136.515 -55.5211 55.3995
-132.923 -61.0677 53.141
-128.155 -63.7156 53.2749
-119.359 -66.5856 53.8477
