23 3
-133.315 64.1103 46.6141
-139.666 60.7437 46.7515
-144.368 57.226 44.9063
-147.818 52.875 43.985
-149.031 47.1039 44.9992
-150.145 43.1274 46.6967
-152.568 37.1119 46.5274
-155.33 28.6741 46.5078
-159.013 17.4668 46.128
-160.733 8.4024 45.8819
-161.396 -0.2858 45.7569
-160.769 -9.0222 45.8573
-159.041 -18.2252 46.0869
-156.561 -26.073 46.4507
-153.496 -33.3838 46.8356
-150.784 -40.799 46.9697
-149.288 -43.4634 47.3085
-148.847 -47.4983 45.238
-148.113 -51.9554 44.1121
-146.542 -56.6238 44.2471
-143.831 -59.7366 45.1325
-138.619 -63.0727 45.336
-133.272 -64.9452 46.5745
